x,y,z,type
0.31880000000000003,0.0576,0.0,1
0.31400000000000006,0.0612,0.0,1
0.3116,0.06359999999999999,0.0,1
0.3104,0.0588,0.0,1
0.3104,0.05399999999999999,0.0,1
0.3104,0.049199999999999994,0.0,1
0.3104,0.044399999999999995,0.0,1
0.3116,0.039599999999999996,0.0,1
0.3116,0.0348,0.0,1
0.31520000000000004,0.0372,0.0,1
0.32,0.040799999999999996,0.0,1
0.3248,0.040799999999999996,0.0,1
0.3296,0.040799999999999996,0.0,1
0.33440000000000003,0.040799999999999996,0.0,1
0.3392,0.040799999999999996,0.0,1
0.344,0.040799999999999996,0.0,1
0.3488,0.040799999999999996,0.0,1
0.3536,0.040799999999999996,0.0,1
0.35840000000000005,0.040799999999999996,0.0,1
0.3632,0.039599999999999996,0.0,1
0.368,0.0372,0.0,1
0.3692,0.041999999999999996,0.0,1
0.3692,0.046799999999999994,0.0,1
0.3692,0.05159999999999999,0.0,1
0.3692,0.05639999999999999,0.0,1
0.3692,0.0576,0.0,1
0.3692,0.0576,0.08,0
0.3692,0.11639999999999999,0.08,0
0.3692,0.11639999999999999,0.0,0
0.3668,0.11879999999999999,0.0,1
0.362,0.11639999999999999,0.0,1
0.3572,0.11399999999999999,0.0,1
0.35240000000000005,0.11399999999999999,0.0,1
0.3476,0.11399999999999999,0.0,1
0.3428,0.11399999999999999,0.0,1
0.338,0.11399999999999999,0.0,1
0.33320000000000005,0.11399999999999999,0.0,1
0.3284,0.11399999999999999,0.0,1
0.3236,0.11399999999999999,0.0,1
0.31880000000000003,0.1152,0.0,1
0.31400000000000006,0.11879999999999999,0.0,1
0.3104,0.1152,0.0,1
0.3104,0.11039999999999998,0.0,1
0.3104,0.10559999999999999,0.0,1
0.3104,0.10079999999999999,0.0,1
0.3116,0.09599999999999999,0.0,1
0.3116,0.09359999999999999,0.0,1
0.3164,0.09599999999999999,0.0,1
0.32120000000000004,0.09839999999999999,0.0,1
0.326,0.09839999999999999,0.0,1
0.3308,0.09839999999999999,0.0,1
0.3356,0.0972,0.0,1
0.3356,0.0924,0.0,1
0.3308,0.0876,0.0,1
0.326,0.08639999999999999,0.0,1
0.3308,0.0852,0.0,1
0.3356,0.0828,0.0,1
0.34040000000000004,0.0828,0.0,1
0.3452,0.08399999999999999,0.0,1
0.35,0.0852,0.0,1
0.3476,0.09,0.0,1
0.3452,0.0948,0.0,1
0.3476,0.09839999999999999,0.0,1
0.35240000000000005,0.09839999999999999,0.0,1
0.3572,0.09839999999999999,0.0,1
0.362,0.0972,0.0,1
0.3632,0.0924,0.0,1
0.3632,0.0876,0.0,1
0.3608,0.0828,0.0,1
0.3572,0.078,0.0,1
0.3572,0.07319999999999999,0.0,1
0.362,0.07319999999999999,0.0,1
0.3668,0.07319999999999999,0.0,1
0.3692,0.078,0.0,1
0.3692,0.0828,0.0,1
0.3692,0.0876,0.0,1
0.3692,0.0924,0.0,1
0.3692,0.0972,0.0,1
0.3692,0.102,0.0,1
0.3692,0.10679999999999999,0.0,1
0.3692,0.11159999999999999,0.0,1
0.3692,0.1152,0.0,1
0.3692,0.1152,0.08,0
0.3704,-0.0648,0.08,0
0.3704,-0.0648,0.0,0
0.3692,-0.06,0.0,1
0.3668,-0.05519999999999999,0.0,1
0.3644,-0.05039999999999999,0.0,1
0.3608,-0.045599999999999995,0.0,1
0.356,-0.041999999999999996,0.0,1
0.3512,-0.040799999999999996,0.0,1
0.34640000000000004,-0.039599999999999996,0.0,1
0.3416,-0.0384,0.0,1
0.3368,-0.0384,0.0,1
0.332,-0.039599999999999996,0.0,1
0.32720000000000005,-0.041999999999999996,0.0,1
0.3224,-0.044399999999999995,0.0,1
0.3176,-0.047999999999999994,0.0,1
0.31400000000000006,-0.05279999999999999,0.0,1
0.3116,-0.0576,0.0,1
0.3104,-0.0624,0.0,1
0.3104,-0.0672,0.0,1
0.3104,-0.072,0.0,1
0.3104,-0.0768,0.0,1
0.3116,-0.08159999999999999,0.0,1
0.31400000000000006,-0.08639999999999999,0.0,1
0.31880000000000003,-0.09119999999999999,0.0,1
0.3236,-0.0948,0.0,1
0.3284,-0.09839999999999999,0.0,1
0.33320000000000005,-0.0996,0.0,1
0.338,-0.0996,0.0,1
0.3428,-0.0996,0.0,1
0.3476,-0.0996,0.0,1
0.35240000000000005,-0.0972,0.0,1
0.3572,-0.0948,0.0,1
0.362,-0.09119999999999999,0.0,1
0.36560000000000004,-0.08639999999999999,0.0,1
0.368,-0.08159999999999999,0.0,1
0.3692,-0.0768,0.0,1
0.3704,-0.072,0.0,1
0.3704,-0.0672,0.0,1
0.3704,-0.06599999999999999,0.0,1
0.3704,-0.06599999999999999,0.08,0
-0.2,0.0,0.7,0
